time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.640963	0.53476	5.65868	2.84935e-18	1.69913e-18	radar	117.162	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15968	0.491934	5.6613	-0.00136987	-0.000112983	lidar	0.184149	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.30491	0.537674	5.17002	-0.0301375	-0.00570441	radar	3.76218	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.60829	0.553078	5.17725	-0.0225172	-0.00406691	lidar	0.470083	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85003	0.554631	5.27264	-0.00441483	0.00478166	radar	1.33516	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13898	0.571319	5.27599	0.0061711	0.00852005	lidar	0.497304	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36001	0.614998	5.17473	0.0555535	0.0273887	radar	2.889	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62707	0.636027	5.17906	0.0602773	0.0295476	lidar	0.0956656	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89184	0.64653	5.20495	0.0574315	0.028681	radar	0.0778965	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.12344	0.65672	5.17837	0.0601451	0.0283365	lidar	0.70867	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.40471	0.60305	5.22471	0.0131657	-0.021042	radar	2.91346	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70735	0.550561	5.27939	-0.0284414	-0.0681903	lidar	5.01388	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98682	0.579248	5.31751	-0.0075347	-0.0277013	radar	1.75314	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26182	0.576996	5.32772	-0.00970605	-0.0280151	lidar	0.120638	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.52262	0.599159	5.30498	0.00301482	-0.00863701	radar	0.754681	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71598	0.672027	5.22296	0.0513389	0.0651193	lidar	10.0855	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97153	0.673117	5.18709	0.0441358	0.0448564	radar	2.05186	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27444	0.673003	5.23496	0.0371376	0.0320544	lidar	3.17856	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53215	0.681908	5.24749	0.0397627	0.0350189	radar	1.54262	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82729	0.694643	5.28331	0.0416657	0.0365632	lidar	1.98508	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07385	0.636568	5.23985	-0.000512441	-0.0370053	radar	4.27334	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33337	0.727998	5.23844	0.0532914	0.051434	lidar	3.07157	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58629	0.757293	5.21679	0.06426	0.0637017	radar	0.65291	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83769	0.756493	5.20766	0.0571145	0.047693	lidar	0.271588	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.0861	0.741477	5.16332	0.0404936	0.0169211	radar	3.82299	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.3125	0.819919	5.13297	0.0813168	0.076589	lidar	2.85698	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59873	0.834423	5.18354	0.0807751	0.070567	radar	3.90933	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.8514	0.811904	5.17636	0.0598094	0.0347597	lidar	0.668003	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10501	0.829413	5.14908	0.0616545	0.033487	radar	2.79108	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34616	0.845433	5.13343	0.0638774	0.0343747	lidar	0.496292	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60878	0.937627	5.16898	0.10803	0.0967512	radar	6.31818	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
